id,name,code,barcode,producerid
5513,Inoa Краска для волос без аммиака 1 60 гр,inoa_kraska_dlya_volos_bez_ammiaka_1_60_gr_0391063953,3474630412118,10437
5016,SoColor Pre-Bonded Крем-краска для волос 6C 90мл,socolor_pre_bonded_krem_kraska_dlya_volos_6c_90ml_9351060265,3474636989324,10427
4971,Dialight Гель-крем для окрашивания волос без аммиака 6.34 50мл,dialight_gel_krem_dlya_okrashivaniya_volos_bez_ammiaka_6_34_50ml_0391069439,3474637004408,10437
6155,SoColor Extra.Coverage Крем-краска для волос 508M 90мл,socolor_extra_coverage_krem_kraska_dlya_volos_508m_90ml_9351060253,3474636978601,10427
5913,Majirel High Lift Крем-краска для волос пепельно-перламутровый 50мл,majirel_high_lift_krem_kraska_dlya_volos_pepelno_perlamutrovyj_50ml_0391064677,3474636347322,10437
7230,Socolor beauty Крем-краска для волос 6RC+ 90мл,socolor_beauty_krem_kraska_dlya_volos_6rc_90ml_0391067824,3474630396340,10427
6789,Inoa Краска для волос без аммиака 9.2 60 гр,inoa_kraska_dlya_volos_bez_ammiaka_9_2_60_gr_0391064184,3474630417038,10437
7406,SoColor Pre-Bonded Крем-краска для волос 9A 90мл,socolor_pre_bonded_krem_kraska_dlya_volos_9a_90ml_9351060175,3474636990160,10427
6459,SoColor Pre-Bonded Крем-краска для волос 6BR 90мл,socolor_pre_bonded_krem_kraska_dlya_volos_6br_90ml_9351060296,3474636993420,10427
7145,Majirel Cool Cover Крем-краска для волос 7.82 50мл,majirel_cool_cover_krem_kraska_dlya_volos_7_82_50ml_0391069282,3474636912049,10437
4844,DiaRichesse Крем-краска для волос щелочная 8.02 50 мл,diarichesse_krem_kraska_dlya_volos_shhelochnaya_8_02_50_ml_0391063530,3474630457522,10437
7247,Dialight Гель-крем для окрашивания волос без аммиака 4.15 50мл,dialight_gel_krem_dlya_okrashivaniya_volos_bez_ammiaka_4_15_50ml_0391069467,3474637005092,10437
5271,Majirel Крем-краска для волос 7.31 50мл,majirel_krem_kraska_dlya_volos_7_31_50ml_0391064809,3474634005224,10437
6773,Majirel Крем-краска для волос 9.0 50мл,majirel_krem_kraska_dlya_volos_9_0_50ml_0391064851,3474634001318,10437
8418,Inoa Rubilane Tm Краска для волос без аммиака 6.40 60 гр,inoa_rubilane_tm_kraska_dlya_volos_bez_ammiaka_6_40_60_gr_0391063950,3474630481572,10437
9268,SoColor Pre-Bonded Крем-краска для волос 5BV 90мл,socolor_pre_bonded_krem_kraska_dlya_volos_5bv_90ml_9351060288,3474636998722,10427
9258,Inoa Краска для волос без аммиака 8.1 60 гр,inoa_kraska_dlya_volos_bez_ammiaka_8_1_60_gr_0391064142,3474630416444,10437
6192,Majirel Cool Cover Крем-краска для волос 5.3 50мл,majirel_cool_cover_krem_kraska_dlya_volos_5_3_50ml_0391065177,3474630575073,10437
4412,SoColor Sync Pre-Bonded Крем-краска для волос 10G 90мл,socolor_sync_pre_bonded_krem_kraska_dlya_volos_10g_90ml_9351060158,3474636985838,10427
5759,Majirel Cool Cover Крем-краска для волос 10 50мл,majirel_cool_cover_krem_kraska_dlya_volos_10_50ml_0391065150,3474630574984,10437
8313,SoColor Sync Pre-Bonded Крем-краска для волос 3WN 90мл,socolor_sync_pre_bonded_krem_kraska_dlya_volos_3wn_90ml_9351060095,3474636972739,10427
9203,SoColor Pre-Bonded Крем-краска для волос 10MM 90мл,socolor_pre_bonded_krem_kraska_dlya_volos_10mm_90ml_9351060283,3474636991686,10427
34278,Serie Expert Scalp Advanced Anti-Oiliness Шампунь-Маска 2в1 500 мл,serie_expert_scalp_advanced_anti_oiliness_shampun_maska_2v1_500_ml_0391069550,3474637090555,10437
8871,SoColor Pre-Bonded Крем-краска для волос 6P 90мл,socolor_pre_bonded_krem_kraska_dlya_volos_6p_90ml_9351060273,3474636990481,10427
