id,name,code,barcode,producerid
25910,Краситель-блеск Shades EQ 09P 60мл,krasitel_blesk_shades_eq_09p_60ml_0391000876,884486255785,10435
19629,Краситель-блеск Shades EQ 08GI 60мл,krasitel_blesk_shades_eq_08gi_60ml_0391000816,884486200020,10435
6486,Стойкий краситель Chromatics с 4D эффектом 8.11/ 8AA ГЛУБОКИЙ ПЕПЕЛЬНЫЙ 63мл,stojkij_krasitel_chromatics_s_4d_effektom_8_11_8aa_glubokij_pepelnyj_63ml_0391000540,3474630723771,10435
30604,Краситель-блеск Shades EQ Bonder Inside 010P 60мл,krasitel_blesk_shades_eq_bonder_inside_010p_60ml_9391000200,3474636997565,10435
18020,Стойкий краситель Chromatics Ultra Rich 6.66 RR ГЛУБОКИЙ КРАСНЫЙ 63мл,stojkij_krasitel_chromatics_ultra_rich_6_66_rr_glubokij_krasnyj_63ml_0391000245,3474636382217,10435
22987,Socolor CULT Direct ФИОЛЕТОВЫЙ 118 мл,socolor_cult_direct_fioletovyj_118_ml_0391068066,884486379856,10427
19455,Краситель-блеск Shades EQ 09К 60мл,krasitel_blesk_shades_eq_09k_60ml_9391000071,884486003416,10435
20022,Inoa ODS2 Оксидент 3% (10 волюм) 1 л,inoa_ods2_oksident_3_10_volyum_1_l_0391063071,3474630417762,10437
25342,Краситель-блеск Shades EQ 09G 60мл,krasitel_blesk_shades_eq_09g_60ml_9391000012,884486003805,10435
1470,Стойкий краситель Chromatics с 4D эффектом 8.43/8CG МЕДНЫЙ ЗОЛОТИСТЫЙ 63мл,stojkij_krasitel_chromatics_s_4d_effektom_8_43_8cg_mednyj_zolotistyj_63ml_0391000575,3474630715998,10435
9672,Шампунь-Ванна Satin 2 1000мл,shampun_vanna_satin_2_1000ml_0391060111,3474630564893,10419
3598,Шампунь-Ванна Prevention 1000мл,shampun_vanna_prevention_1000ml_0391060036,3474636397440,10419
28576,Шампунь-Ванна Satin 1 1000мл,shampun_vanna_satin_1_1000ml_0391060106,3474630564732,10419
14690,Шампунь-ванна Divalent для волос жирных у корней и чувствительных по длине 1000мл,shampun_vanna_divalent_dlya_volos_zhirnyх_u_kornej_i_chuvstvitelnyх_po_dline_1000ml_9341060035,3474636954759,10419
34268,Serie Expert Inforcer Шампунь 1500мл (рефилл),serie_expert_inforcer_shampun_1500ml_refill__0391069554,3474637090777,10437
30894,Serie Expert Chroma Creme фиолетовый Шампунь 1500мл,serie_expert_chroma_creme_fioletovyj_shampun_1500ml_0391069506,3474637054922,10437
5795,Biolage Oil Renew Шампунь 1л,biolage_oil_renew_shampun_1l_0391068480,3474636642335,12826
6761,Biolage FullDensity Шампунь 1л,biolage_fulldensity_shampun_1l_0391068416,3474636315451,12826
26065,Volume Injection Шампунь 1л,volume_injection_shampun_1l_9391000102,3474636929139,10435
22372,Шампунь-Ванна Fludealiste Gentle 1000мл,shampun_vanna_fludealiste_gentle_1000ml_0391060096,3474630647534,10419
34255,Serie Expert Scalp Advanced Anti-Oiliness Шампунь 1500 мл,serie_expert_scalp_advanced_anti_oiliness_shampun_1500_ml_0391069566,3474637106416,10437
4852,Уплотняющий Шампунь-Ванна Densite 1000мл,uplotnyayushhij_shampun_vanna_densite_1000ml_0391060067,3474630664906,10419
9791,Шампунь-Ванна Force Architecte1000мл,shampun_vanna_force_architecte1000ml_0391060131,3474630382091,10419
17113,Serie Expert Blondifier Маска 500 мл,serie_expert_blondifier_maska_500_ml_0391069304,3474636975419,10437
34292,Serie Expert Scalp Advanced Anti-Discomfort Шампунь 1500мл,serie_expert_scalp_advanced_anti_discomfort_shampun_1500ml_0391069548,3474637090517,10437
12381,Serie Expert Sensi Balance Шампунь 1500 мл,serie_expert_sensi_balance_shampun_1500_ml_0391069312,3474636975587,10437
6707,Total Result Unbreak My Blonde Шампунь-Индикатор 1л,total_result_unbreak_my_blonde_shampun_indikator_1l_9351060101,3474636973699,10427
13184,Serie Expert Silver Шампунь 1500 мл,serie_expert_silver_shampun_1500_ml_0391069311,3474636975570,10437
7922,Уплотняющий Шампунь-Ванна Densite для мужчин 1000мл,uplotnyayushhij_shampun_vanna_densite_dlya_muzhchin_1000ml_0391060071,3474636356072,10419
36783,Serie Expert Absolut Repair Molecular Шампунь 1500мл,serie_expert_absolut_repair_molecular_shampun_1500ml_0391069740,3474637188207,10437
27096,Шампунь-Ванна Lumiere 1000мл,shampun_vanna_lumiere_1000ml_0391061470,3474636692217,10419
1004,Total Results Mega Sleek Шампунь 1л,total_results_mega_sleek_shampun_1l_0391068622,3474630740754,10427
2466,Шампунь-ванна Anti-Pelliculaire от шелушений и перхоти 1000мл,shampun_vanna_anti_pelliculaire_ot_shelushenij_i_perхoti_1000ml_0391060026,3474636397419,10419
